time, x, y, centre_left_distance, centre_right_distance, nu
10, -0.000116945, 503.095, 450, 150, 75
20, -0.000116945, 507.208, 450, 150, 75
30, -0.000116945, 511.253, 450, 150, 75
40, -0.000116945, 515.437, 450, 150, 75
50, -0.000116945, 519.621, 450, 150, 75
60, -0.000116945, 524.405, 450, 150, 75
70, -0.000116945, 530.092, 450, 150, 75
80, -0.000116945, 535.289, 450, 150, 75
90, -0.000116945, 540.676, 450, 150, 75
100, -0.000116945, 546.244, 450, 150, 75
110, -0.000116945, 552.026, 450, 150, 75
120, -0.000116945, 557.529, 450, 150, 75
130, -0.000116945, 563.199, 450, 150, 75
140, -0.000116945, 568.751, 450, 150, 75
150, -0.000116945, 573.798, 450, 150, 75
160, -0.000116945, 578.979, 450, 150, 75
170, -0.000116945, 583.734, 450, 150, 75
180, -0.000116945, 588.698, 450, 150, 75
190, -0.000116945, 593.611, 450, 150, 75
200, -0.000116945, 598.113, 450, 150, 75
210, -0.000116945, 603.123, 450, 150, 75
220, -0.000116945, 607.7, 450, 150, 75
230, -0.000116945, 611.876, 450, 150, 75
240, -0.000116945, 616.414, 450, 150, 75
250, -0.000116945, 621.167, 450, 150, 75
260, -0.000116945, 625.726, 450, 150, 75
270, -0.000116945, 630.032, 450, 150, 75
280, -0.000116945, 634.125, 450, 150, 75
290, -0.000116945, 638.051, 450, 150, 75
300, -0.000116945, 641.931, 450, 150, 75
310, -0.000116945, 645.62, 450, 150, 75
320, -0.000116945, 649.036, 450, 150, 75
330, -0.000116945, 652.214, 450, 150, 75
340, -0.000116945, 655.245, 450, 150, 75
350, -0.000116945, 658.268, 450, 150, 75
360, -0.000116945, 661.05, 450, 150, 75
370, -0.000116945, 663.689, 450, 150, 75
380, -0.000116945, 666.234, 450, 150, 75
390, -0.000116945, 668.711, 450, 150, 75
400, -0.000116945, 671.015, 450, 150, 75
410, -0.000116945, 673.134, 450, 150, 75
420, -0.000116945, 675.134, 450, 150, 75
430, -0.000116945, 677.201, 450, 150, 75
440, -0.000116945, 679.231, 450, 150, 75
450, -0.000116945, 681.131, 450, 150, 75
460, -0.000116945, 682.925, 450, 150, 75
470, -0.000116945, 684.512, 450, 150, 75
480, -0.000116945, 686.046, 450, 150, 75
490, -0.000116945, 687.603, 450, 150, 75
500, -0.000116945, 689.189, 450, 150, 75
510, -0.000116945, 690.771, 450, 150, 75
520, -0.000116945, 692.343, 450, 150, 75
530, -0.000116945, 693.899, 450, 150, 75
540, -0.000116945, 695.166, 450, 150, 75
550, -0.000116945, 696.097, 450, 150, 75
560, -0.000116945, 696.982, 450, 150, 75
570, -0.000116945, 697.519, 450, 150, 75
580, -0.000116945, 698.081, 450, 150, 75
590, -0.000116945, 698.667, 450, 150, 75
600, -0.000116945, 699.163, 450, 150, 75
610, -0.000116945, 699.874, 450, 150, 75
620, -0.000116945, 700.772, 450, 150, 75
630, -0.000116945, 701.239, 450, 150, 75
640, -0.000116945, 701.86, 450, 150, 75
650, -0.000116945, 702.342, 450, 150, 75
660, -0.000116945, 702.741, 450, 150, 75
670, -0.000116945, 702.965, 450, 150, 75
680, -0.000116945, 703.001, 450, 150, 75
690, -0.000116945, 702.894, 450, 150, 75
700, -0.000116945, 702.628, 450, 150, 75
710, -0.000116945, 702.43, 450, 150, 75
720, -0.000116945, 702.239, 450, 150, 75
730, -0.000116945, 702.313, 450, 150, 75
740, -0.000116945, 702.499, 450, 150, 75
750, -0.000116945, 702.899, 450, 150, 75
760, -0.000116945, 703.433, 450, 150, 75
770, -0.000116945, 704.148, 450, 150, 75
780, -0.000116945, 704.773, 450, 150, 75
790, -0.000116945, 705.452, 450, 150, 75
800, -0.000116945, 706.408, 450, 150, 75
810, -0.000116945, 707.248, 450, 150, 75
820, -0.000116945, 707.924, 450, 150, 75
830, -0.000116945, 708.496, 450, 150, 75
840, -0.000116945, 709.039, 450, 150, 75
850, -0.000116945, 709.495, 450, 150, 75
860, -0.000116945, 709.962, 450, 150, 75
870, -0.000116945, 710.418, 450, 150, 75
880, -0.000116945, 710.962, 450, 150, 75
890, -0.000116945, 711.634, 450, 150, 75
900, -0.000116945, 712.233, 450, 150, 75
910, -0.000116945, 712.734, 450, 150, 75
920, -0.000116945, 713.193, 450, 150, 75
930, -0.000116945, 713.795, 450, 150, 75
940, -0.000116945, 714.126, 450, 150, 75
950, -0.000116945, 714.467, 450, 150, 75
960, -0.000116945, 714.623, 450, 150, 75
970, -0.000116945, 714.831, 450, 150, 75
980, -0.000116945, 715.014, 450, 150, 75
990, -0.000116945, 715.426, 450, 150, 75
1000, -0.000116945, 715.895, 450, 150, 75
1010, -0.000116945, 716.107, 450, 150, 75
1020, -0.000116945, 716.375, 450, 150, 75
1030, -0.000116945, 716.433, 450, 150, 75
1040, -0.000116945, 716.469, 450, 150, 75
1050, -0.000116945, 716.598, 450, 150, 75
1060, -0.000116945, 716.718, 450, 150, 75
1070, -0.000116945, 717.145, 450, 150, 75
1080, -0.000116945, 717.619, 450, 150, 75
1090, -0.000116945, 718.002, 450, 150, 75
1100, -0.000116945, 718.17, 450, 150, 75
1110, -0.000116945, 718.317, 450, 150, 75
1120, -0.000116945, 718.174, 450, 150, 75
1130, -0.000116945, 717.863, 450, 150, 75
1140, -0.000116945, 717.624, 450, 150, 75
1150, -0.000116945, 717.344, 450, 150, 75
1160, -0.000116945, 717.267, 450, 150, 75
1170, -0.000116945, 717.351, 450, 150, 75
1180, -0.000116945, 717.27, 450, 150, 75
1190, -0.000116945, 717.299, 450, 150, 75
1200, -0.000116945, 717.4, 450, 150, 75
1210, -0.000116945, 717.742, 450, 150, 75
1220, -0.000116945, 718.352, 450, 150, 75
1230, -0.000116945, 718.89, 450, 150, 75
1240, -0.000116945, 719.553, 450, 150, 75
1250, -0.000116945, 720.345, 450, 150, 75
1260, -0.000116945, 721.059, 450, 150, 75
1270, -0.000116945, 721.588, 450, 150, 75
1280, -0.000116945, 721.999, 450, 150, 75
1290, -0.000116945, 722.43, 450, 150, 75
1300, -0.000116945, 722.911, 450, 150, 75
1310, -0.000116945, 723.531, 450, 150, 75
1320, -0.000116945, 723.79, 450, 150, 75
1330, -0.000116945, 723.781, 450, 150, 75
1340, -0.000116945, 723.691, 450, 150, 75
1350, -0.000116945, 723.286, 450, 150, 75
1360, -0.000116945, 722.921, 450, 150, 75
1370, -0.000116945, 722.437, 450, 150, 75
1380, -0.000116945, 721.61, 450, 150, 75
1390, -0.000116945, 720.651, 450, 150, 75
1400, -0.000116945, 720.118, 450, 150, 75
1410, -0.000116945, 719.814, 450, 150, 75
1420, -0.000116945, 719.512, 450, 150, 75
1430, -0.000116945, 719.041, 450, 150, 75
1440, -0.000116945, 718.403, 450, 150, 75
1450, -0.000116945, 718.046, 450, 150, 75
1460, -0.000116945, 717.62, 450, 150, 75
1470, -0.000116945, 717.273, 450, 150, 75
1480, -0.000116945, 717.078, 450, 150, 75
1490, -0.000116945, 717.485, 450, 150, 75
1500, -0.000116945, 718.194, 450, 150, 75
1510, -0.000116945, 718.855, 450, 150, 75
1520, -0.000116945, 719.575, 450, 150, 75
1530, -0.000116945, 720.258, 450, 150, 75
1540, -0.000116945, 720.756, 450, 150, 75
1550, -0.000116945, 720.921, 450, 150, 75
1560, -0.000116945, 721.17, 450, 150, 75
1570, -0.000116945, 721.225, 450, 150, 75
1580, -0.000116945, 721.194, 450, 150, 75
1590, -0.000116945, 721.179, 450, 150, 75
1600, -0.000116945, 721.37, 450, 150, 75
1610, -0.000116945, 721.669, 450, 150, 75
1620, -0.000116945, 721.884, 450, 150, 75
1630, -0.000116945, 721.98, 450, 150, 75
1640, -0.000116945, 722.079, 450, 150, 75
1650, -0.000116945, 722.342, 450, 150, 75
1660, -0.000116945, 722.35, 450, 150, 75
1670, -0.000116945, 722.164, 450, 150, 75
1680, -0.000116945, 721.757, 450, 150, 75
1690, -0.000116945, 721.274, 450, 150, 75
1700, -0.000116945, 721.023, 450, 150, 75
1710, -0.000116945, 720.884, 450, 150, 75
1720, -0.000116945, 720.459, 450, 150, 75
1730, -0.000116945, 720.076, 450, 150, 75
1740, -0.000116945, 720.073, 450, 150, 75
1750, -0.000116945, 719.995, 450, 150, 75
1760, -0.000116945, 719.718, 450, 150, 75
1770, -0.000116945, 719.339, 450, 150, 75
1780, -0.000116945, 719.099, 450, 150, 75
1790, -0.000116945, 718.744, 450, 150, 75
1800, -0.000116945, 718.546, 450, 150, 75
1810, -0.000116945, 718.778, 450, 150, 75
1820, -0.000116945, 719.083, 450, 150, 75
1830, -0.000116945, 719.698, 450, 150, 75
1840, -0.000116945, 720.308, 450, 150, 75
1850, -0.000116945, 721.005, 450, 150, 75
1860, -0.000116945, 721.455, 450, 150, 75
1870, -0.000116945, 721.787, 450, 150, 75
1880, -0.000116945, 721.94, 450, 150, 75
1890, -0.000116945, 722.151, 450, 150, 75
1900, -0.000116945, 722.617, 450, 150, 75
1910, -0.000116945, 723.058, 450, 150, 75
1920, -0.000116945, 723.6, 450, 150, 75
1930, -0.000116945, 724.038, 450, 150, 75
1940, -0.000116945, 724.14, 450, 150, 75
1950, -0.000116945, 724.206, 450, 150, 75
1960, -0.000116945, 724.211, 450, 150, 75
1970, -0.000116945, 724.147, 450, 150, 75
1980, -0.000116945, 723.856, 450, 150, 75
1990, -0.000116945, 723.304, 450, 150, 75
2000, -0.000116945, 722.376, 450, 150, 75
2010, -0.000116945, 721.912, 450, 150, 75
2020, -0.000116945, 721.615, 450, 150, 75
2030, -0.000116945, 721.424, 450, 150, 75
2040, -0.000116945, 721.055, 450, 150, 75
2050, -0.000116945, 720.665, 450, 150, 75
2060, -0.000116945, 720.372, 450, 150, 75
2070, -0.000116945, 719.903, 450, 150, 75
2080, -0.000116945, 719.493, 450, 150, 75
2090, -0.000116945, 719.268, 450, 150, 75
2100, -0.000116945, 719.533, 450, 150, 75
2110, -0.000116945, 720.092, 450, 150, 75
2120, -0.000116945, 720.463, 450, 150, 75
2130, -0.000116945, 720.596, 450, 150, 75
2140, -0.000116945, 720.682, 450, 150, 75
2150, -0.000116945, 720.841, 450, 150, 75
2160, -0.000116945, 720.955, 450, 150, 75
2170, -0.000116945, 720.876, 450, 150, 75
2180, -0.000116945, 720.598, 450, 150, 75
2190, -0.000116945, 720.757, 450, 150, 75
2200, -0.000116945, 720.804, 450, 150, 75
2210, -0.000116945, 720.888, 450, 150, 75
2220, -0.000116945, 720.909, 450, 150, 75
2230, -0.000116945, 720.859, 450, 150, 75
2240, -0.000116945, 720.824, 450, 150, 75
2250, -0.000116945, 720.733, 450, 150, 75
2260, -0.000116945, 720.687, 450, 150, 75
2270, -0.000116945, 720.82, 450, 150, 75
2280, -0.000116945, 720.809, 450, 150, 75
2290, -0.000116945, 720.256, 450, 150, 75
2300, -0.000116945, 719.453, 450, 150, 75
2310, -0.000116945, 718.905, 450, 150, 75
2320, -0.000116945, 718.532, 450, 150, 75
2330, -0.000116945, 718.376, 450, 150, 75
2340, -0.000116945, 718.306, 450, 150, 75
2350, -0.000116945, 718.289, 450, 150, 75
2360, -0.000116945, 718.578, 450, 150, 75
2370, -0.000116945, 719.05, 450, 150, 75
2380, -0.000116945, 719.533, 450, 150, 75
2390, -0.000116945, 719.732, 450, 150, 75
